"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level"
2626,"LAW-404","Gould School of Law",1,"Psychology of the Criminal Justice Process","","Examines the capacity of the criminal process to produce accurate verdicts, focusing on: witnesses, detectives, suspects, judges and jurors.","","LAW",20251,0,1,"SP25","Psychology of the Criminal Justice Process -  - Examines the capacity of the criminal process to produce accurate verdicts, focusing on: witnesses, detectives, suspects, judges and jurors.","AY25","SP25","undergrad upper division"
2627,"LAW-225","Gould School of Law",1,"Current Court Cases","Grabarsky, Todd","Exposes students to the impact of legal decisions on society through analysis of pending and recent cases on the courts docket.","","LAW",20251,0,1,"SP25","Current Court Cases -  - Exposes students to the impact of legal decisions on society through analysis of pending and recent cases on the courts docket.","AY25","SP25","undergrad lower division"
2629,"LAW-275","Gould School of Law",1,"Equal by Law: The History of Civil Rights Law in the United","","Traces the development of U.S. constitutional and statutory mechanisms designed to fulfill the promise of equality under the law.","","LAW",20251,0,1,"SP25","Equal by Law: The History of Civil Rights Law in the United -  - Traces the development of U.S. constitutional and statutory mechanisms designed to fulfill the promise of equality under the law.","AY25","SP25","undergrad lower division"
2630,"LAW-320","Gould School of Law",1,"Law, Slavery, and Race","Alexander, Taifha","Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","","LAW",20251,0,1,"SP25","Law, Slavery, and Race -  - Studies how law, politics and culture interacted to shape the institution of slavery and the development of modern conceptions of race.","AY25","SP25","undergrad upper division"
2632,"LAW-350","Gould School of Law",1,"Law and Entrepreneurship","Chasalow, Michael","Examines areas of the law that impact entrepreneurs, starting, operating and financing businesses. Topics include: selection of business entities; securities laws and issues that arise in fundraising; employment law; contracts; torts; intellectual property; global expansion; mergers and acquisitions ; and IPOs.","","LAW",20251,0,1,"SP25","Law and Entrepreneurship -  - Examines areas of the law that impact entrepreneurs, starting, operating and financing businesses. Topics include: selection of business entities; securities laws and issues that arise in fundraising; employment law; contracts; torts; intellectual property; global expansion; mergers and acquisitions ; and IPOs.","AY25","SP25","undergrad upper division"
2635,"LAW-310","Gould School of Law",1,"Global Justice for Mass Atrocities and Genocide","Zaverukha, Iryna","Learn about international law and courts trying these cases, while also reflecting on whether criminal trials are the best response to bringing healing and reconciliation to affected societies.","","LAW",20251,0,1,"SP25","Global Justice for Mass Atrocities and Genocide -  - Learn about international law and courts trying these cases, while also reflecting on whether criminal trials are the best response to bringing healing and reconciliation to affected societies.","AY25","SP25","undergrad upper division"
2636,"LAW-406","Gould School of Law",1,"Individual Rights in U.S. Constitutional Law","","Explores the U.S. Bill of Rights and the limits that the Constitution imposes on the state majoritys ability to impose its will on an individual.","","LAW",20251,0,1,"SP25","Individual Rights in U.S. Constitutional Law -  - Explores the U.S. Bill of Rights and the limits that the Constitution imposes on the state majoritys ability to impose its will on an individual.","AY25","SP25","undergrad upper division"
2637,"LAW-206","Gould School of Law",1,"Responsible Use of Artificial Intelligence: Ethics and Law","","Analyzes the ethical dilemmas and societal implications of artificial intelligence and debates the future of artificial intelligence regulations and laws.","","LAW",20251,0,1,"SP25","Responsible Use of Artificial Intelligence: Ethics and Law -  - Analyzes the ethical dilemmas and societal implications of artificial intelligence and debates the future of artificial intelligence regulations and laws.","AY25","SP25","undergrad lower division"
2638,"LAW-211","Gould School of Law",1,"Intellectual Property and Technology","Desai, Neil","Examines how American law protects and facilitates intellectual property and its modern utility. Provides a practical understanding of laws regulating patents, copyrights and trademarks.","","LAW",20251,0,1,"SP25","Intellectual Property and Technology -  - Examines how American law protects and facilitates intellectual property and its modern utility. Provides a practical understanding of laws regulating patents, copyrights and trademarks.","AY25","SP25","undergrad lower division"
2652,"LAW-498","Gould School of Law",1,"Law Internship","","Intensive experience with a law-related non-profit organization, or public agency.","","LAW",20251,0,1,"SP25","Law Internship -  - Intensive experience with a law-related non-profit organization, or public agency.","AY25","SP25","undergrad upper division"
