"section","courseID","school","session","course_title","instructor","course_description","section_name","department","origin","total_enrolled","N.Sections","semester","course_desc","year","all_semesters","course_level"
21100,"JOUR-307","Annenberg School for Communication and Journalism",1,"Reporting and Writing II","Haggerty, Rebecca, Marie","Report, write, produce and distribute in-depth stories produced off beats on multiple platforms for diverse audiences; enhance understanding of news judgment; develop and maintain sources; engage communities through field reporting and emerging digital tools.","","JOUR",20251,0,5,"SP25","Reporting and Writing II -  - Report, write, produce and distribute in-depth stories produced off beats on multiple platforms for diverse audiences; enhance understanding of news judgment; develop and maintain sources; engage communities through field reporting and emerging digital tools.","AY25","SP25","undergrad upper division"
21111,"JOUR-512","Annenberg School for Communication and Journalism",1,"Advanced Interpretive Writing","Mittelstaedt, Alan","Analysis and writing of editorials, essays, Op-Ed page articles, profiles, and other shorter forms of journalism, combined with study of historic practitioners of those forms.","","JOUR",20251,0,1,"SP25","Advanced Interpretive Writing -  - Analysis and writing of editorials, essays, Op-Ed page articles, profiles, and other shorter forms of journalism, combined with study of historic practitioners of those forms.","AY25","SP25","graduate"
21116,"JOUR-517","Annenberg School for Communication and Journalism",1,"Advanced Investigative Reporting","Schoofs, Mark;Plocek, Keith","Advanced reportorial and analytical skills and techniques required for evaluating newsworthy events. Group research and publication of stories on important current topics.","","JOUR",20251,0,1,"SP25","Advanced Investigative Reporting -  - Advanced reportorial and analytical skills and techniques required for evaluating newsworthy events. Group research and publication of stories on important current topics.","AY25","SP25","graduate"
21117,"JOUR-499","Annenberg School for Communication and Journalism",1,"Special Topics","Turner, Myra, Penelope","Selected topics in journalism.","Beyond the Xs and Os","JOUR",20251,0,1,"SP25","Special Topics - Beyond the Xs and Os - Selected topics in journalism.","AY25","SP25","undergrad upper division"
21118,"JOUR-499","Annenberg School for Communication and Journalism",1,"Special Topics","Hirsch, Afua, Caroline","Selected topics in journalism.","The Feature Interview","JOUR",20251,0,1,"SP25","Special Topics - The Feature Interview - Selected topics in journalism.","AY25","SP25","undergrad upper division"
21119,"JOUR-499","Annenberg School for Communication and Journalism",1,"Special Topics","Ananny, Mike","Selected topics in journalism.","Artificial Intelligence for Media & Storytelling","JOUR",20251,0,1,"SP25","Special Topics - Artificial Intelligence for Media & Storytelling - Selected topics in journalism.","AY25","SP25","undergrad upper division"
21130,"JOUR-310","Annenberg School for Communication and Journalism",1,"Investigative Reporting","","Reportorial and analytical skills and techniques required for portraying and evaluating contemporary newsworthy events; lectures, discussions.","","JOUR",20251,0,1,"SP25","Investigative Reporting -  - Reportorial and analytical skills and techniques required for portraying and evaluating contemporary newsworthy events; lectures, discussions.","AY25","SP25","undergrad upper division"
21140,"PR-340","Annenberg School for Communication and Journalism",1,"Introduction to Advertising","","History and development of advertising; basic advertising campaigns showing relationships of marketing, creative, print and electronic media.","","PR",20251,0,3,"SP25","Introduction to Advertising -  - History and development of advertising; basic advertising campaigns showing relationships of marketing, creative, print and electronic media.","AY25","SP25","undergrad upper division"
21148,"PR-351A","Annenberg School for Communication and Journalism",1,"Multichannel Strategy and Content Creation","","Introduction to media relations, social media and influencer engagement; intensive writing and creating multimedia content for traditional, emerging and social media.","","PR",20251,0,4,"SP25","Multichannel Strategy and Content Creation -  - Introduction to media relations, social media and influencer engagement; intensive writing and creating multimedia content for traditional, emerging and social media.","AY25","SP25","undergrad upper division"
21150,"JOUR-499","Annenberg School for Communication and Journalism",1,"Special Topics","","Selected topics in journalism.","Mental Health Reporting","JOUR",20251,0,1,"SP25","Special Topics - Mental Health Reporting - Selected topics in journalism.","AY25","SP25","undergrad upper division"
21156,"PR-351B","Annenberg School for Communication and Journalism",1,"Multichannel Strategy and Content Creation","","Advanced course in writing, digital content and multimedia creation; production of communications collateral for social and owned media channels targeting an array of audiences.","","PR",20251,0,2,"SP25","Multichannel Strategy and Content Creation -  - Advanced course in writing, digital content and multimedia creation; production of communications collateral for social and owned media channels targeting an array of audiences.","AY25","SP25","undergrad upper division"
21159,"PR-352","Annenberg School for Communication and Journalism",1,"Public Relations Media and Content for Non-Majors","","Learn advanced public relations writing and editing, basic design skills and sophisticated video planning, shooting, editing and production skills.","","PR",20251,0,1,"SP25","Public Relations Media and Content for Non-Majors -  - Learn advanced public relations writing and editing, basic design skills and sophisticated video planning, shooting, editing and production skills.","AY25","SP25","undergrad upper division"
21160,"PR-427","Annenberg School for Communication and Journalism",1,"Structured Inquiry in Public Relations and Advertising","","Apply contemporary research methods to create actionable insights for integrated, multi-channel communication campaigns, including social media monitoring, measurement and evaluation.","","PR",20251,0,2,"SP25","Structured Inquiry in Public Relations and Advertising -  - Apply contemporary research methods to create actionable insights for integrated, multi-channel communication campaigns, including social media monitoring, measurement and evaluation.","AY25","SP25","undergrad upper division"
21163,"PR-426","Annenberg School for Communication and Journalism",1,"Influencer Relations","Kozinets, Robert","Media is social. Influencers reign. Influencer Relations provides a practical understanding of the new rules of the industry for students interested in working within it.","","PR",20251,0,1,"SP25","Influencer Relations -  - Media is social. Influencers reign. Influencer Relations provides a practical understanding of the new rules of the industry for students interested in working within it.","AY25","SP25","undergrad upper division"
21165,"JOUR-320","Annenberg School for Communication and Journalism",1,"Introduction to Coding for Storytelling","Bustamante, Peggy","Introduction to basic web technologies; conceive, design, code and produce an advanced multimedia story package.","","JOUR",20251,0,5,"SP25","Introduction to Coding for Storytelling -  - Introduction to basic web technologies; conceive, design, code and produce an advanced multimedia story package.","AY25","SP25","undergrad upper division"
21167,"JOUR-322","Annenberg School for Communication and Journalism",1,"Introduction to Investigative and Data Journalism","","Reportorial and analytical skills and techniques required for portraying and evaluating contemporary newsworthy events using basic data journalism techniques and tools for statistical analysis.","","JOUR",20251,0,3,"SP25","Introduction to Investigative and Data Journalism -  - Reportorial and analytical skills and techniques required for portraying and evaluating contemporary newsworthy events using basic data journalism techniques and tools for statistical analysis.","AY25","SP25","undergrad upper division"
21176,"JOUR-330","Annenberg School for Communication and Journalism",1,"Photojournalism","Turner, Myra, Penelope","Emphasis on fundamental skills necessary for photojournalism including camera techniques, story ideas and digital darkroom.","","JOUR",20251,0,1,"SP25","Photojournalism -  - Emphasis on fundamental skills necessary for photojournalism including camera techniques, story ideas and digital darkroom.","AY25","SP25","undergrad upper division"
21177,"JOUR-321","Annenberg School for Communication and Journalism",1,"Visual Journalism","","Video for digital platforms, principles of photography, design for web and mobile platforms. Introduction to principles of digital news design, interactivity and presentation in interactive storytelling.","","JOUR",20251,0,2,"SP25","Visual Journalism -  - Video for digital platforms, principles of photography, design for web and mobile platforms. Introduction to principles of digital news design, interactivity and presentation in interactive storytelling.","AY25","SP25","undergrad upper division"
21186,"JOUR-350","Annenberg School for Communication and Journalism",1,"Introduction to Sports Media","Carrington, Ben","Highlight norms, routines of content, including print, broadcast, video. Focus on opportunities, constraints posed by roles of reporters, fans, players, publicists, agents, leagues, teams.","","JOUR",20251,0,1,"SP25","Introduction to Sports Media -  - Highlight norms, routines of content, including print, broadcast, video. Focus on opportunities, constraints posed by roles of reporters, fans, players, publicists, agents, leagues, teams.","AY25","SP25","undergrad upper division"
21188,"JOUR-372","Annenberg School for Communication and Journalism",1,"Engaging Diverse Communities","Aguilar, Amara, Suzanne","Explores how to engage diverse local communities through participatory journalism and communication strategies. Focuses on using digital tools to increase engagement with communities via field reporting and mobile platforms to produce stories across platforms.","","JOUR",20251,0,2,"SP25","Engaging Diverse Communities -  - Explores how to engage diverse local communities through participatory journalism and communication strategies. Focuses on using digital tools to increase engagement with communities via field reporting and mobile platforms to produce stories across platforms.","AY25","SP25","undergrad upper division"
21208,"JOUR-446","Annenberg School for Communication and Journalism",1,"Entertainment Reporting","Murphy, Mary","Techniques of reporting and writing about the entertainment business, economics and finances. Analysis of the skills and background needed for reporters specializing in this area of the news.","","JOUR",20251,0,1,"SP25","Entertainment Reporting -  - Techniques of reporting and writing about the entertainment business, economics and finances. Analysis of the skills and background needed for reporters specializing in this area of the news.","AY25","SP25","undergrad upper division"
21209,"JOUR-447","Annenberg School for Communication and Journalism",1,"Arts Reporting","","Techniques of reporting and writing about the arts, including television, film, theatre, music, graphic arts, architecture and design.","","JOUR",20251,0,1,"SP25","Arts Reporting -  - Techniques of reporting and writing about the arts, including television, film, theatre, music, graphic arts, architecture and design.","AY25","SP25","undergrad upper division"
21218,"JOUR-380","Annenberg School for Communication and Journalism",1,"Sports, Business and Media in Today's Society","Fellenzer, Jeff, C.","An inside look at the important stories, topical issues, trends and historical developments related to the growing influence of business and media on college and professional sports; identifying the key components and meeting the influencers in class that help shape the business side of sports, whil e recognizing the role the media plays in providing daily coverage across multiple platforms.","","JOUR",20251,0,1,"SP25","Sports, Business and Media in Today's Society -  - An inside look at the important stories, topical issues, trends and historical developments related to the growing influence of business and media on college and professional sports; identifying the key components and meeting the influencers in class that help shape the business side of sports, whil e recognizing the role the media plays in providing daily coverage across multiple platforms.","AY25","SP25","undergrad upper division"
21220,"JOUR-457","Annenberg School for Communication and Journalism",1,"Food of Our Families","Floto, Jennifer, Dayle","Tell stories that explore food culture and culinary traditions, become familiar with cultural areas of Los Angeles and become immersed in global food and culture.","","JOUR",20251,0,1,"SP25","Food of Our Families -  - Tell stories that explore food culture and culinary traditions, become familiar with cultural areas of Los Angeles and become immersed in global food and culture.","AY25","SP25","undergrad upper division"
21221,"JOUR-403","Annenberg School for Communication and Journalism",1,"Television News and Sports Production","Scholder, Stacy","Production of television news and sports programs while developing video, writing and communication skills and managing content in collaboration with others under deadline pressure.","","JOUR",20251,0,5,"SP25","Television News and Sports Production -  - Production of television news and sports programs while developing video, writing and communication skills and managing content in collaboration with others under deadline pressure.","AY25","SP25","undergrad upper division"
21229,"JOUR-381","Annenberg School for Communication and Journalism",1,"Entertainment, Business and Media in Today's Society","Murphy, Mary","An examination of the symbiotic relationship of the entertainment business and the media; press coverage of the entertainment industry; Hollywood's relationship with news media.","","JOUR",20251,0,1,"SP25","Entertainment, Business and Media in Today's Society -  - An examination of the symbiotic relationship of the entertainment business and the media; press coverage of the entertainment industry; Hollywood's relationship with news media.","AY25","SP25","undergrad upper division"
21236,"JOUR-404","Annenberg School for Communication and Journalism",1,"Produce and Host Sports Content in Studio A","","Interview, present and design sports segments for television/video in Studio A.","","JOUR",20251,0,1,"SP25","Produce and Host Sports Content in Studio A -  - Interview, present and design sports segments for television/video in Studio A.","AY25","SP25","undergrad upper division"
21237,"JOUR-405","Annenberg School for Communication and Journalism",1,"Non-Fiction Television","Birman, Daniel, H","Presentation and selection in non-fiction television programs including documentaries, electronic magazines and news series; ethical problems, field research, reporting, interviewing, pre-production.","","JOUR",20251,0,1,"SP25","Non-Fiction Television -  - Presentation and selection in non-fiction television programs including documentaries, electronic magazines and news series; ethical problems, field research, reporting, interviewing, pre-production.","AY25","SP25","undergrad upper division"
21251,"PR-434","Annenberg School for Communication and Journalism",1,"Advertising Campaign Construction","","Develop an integrated marketing communication campaign that will compete against other universities in the national Collegiate Effie competition.","","PR",20251,0,1,"SP25","Advertising Campaign Construction -  - Develop an integrated marketing communication campaign that will compete against other universities in the national Collegiate Effie competition.","AY25","SP25","undergrad upper division"
21252,"JOUR-414","Annenberg School for Communication and Journalism",1,"Advanced Digital Media Storytelling","Bellantoni, Christina","Production of a well-reported advanced multimedia package, with a blend of text, audio, video, photos, navigation and interactivity; final projects will be published by the Annenberg Media Center.","","JOUR",20251,0,5,"SP25","Advanced Digital Media Storytelling -  - Production of a well-reported advanced multimedia package, with a blend of text, audio, video, photos, navigation and interactivity; final projects will be published by the Annenberg Media Center.","AY25","SP25","undergrad upper division"
21253,"PR-429","Annenberg School for Communication and Journalism",1,"Business and Economic Foundations of Public Relations and Ad","","Relationship between public relations/advertising and other organizational disciplines; understanding business goals and objectives; economic literacy; financial/investor relations; how PR/communication agencies are built and managed.","","PR",20251,0,2,"SP25","Business and Economic Foundations of Public Relations and Ad -  - Relationship between public relations/advertising and other organizational disciplines; understanding business goals and objectives; economic literacy; financial/investor relations; how PR/communication agencies are built and managed.","AY25","SP25","undergrad upper division"
21255,"PR-450","Annenberg School for Communication and Journalism",1,"Building Integrated Campaigns","","In-depth study of methods for planning, managing and evaluating strategic communication campaigns; critical analysis of contemporary cases; development of campaigns for real world clients.","","PR",20251,0,5,"SP25","Building Integrated Campaigns -  - In-depth study of methods for planning, managing and evaluating strategic communication campaigns; critical analysis of contemporary cases; development of campaigns for real world clients.","AY25","SP25","undergrad upper division"
21256,"PR-431","Annenberg School for Communication and Journalism",1,"Integrated Media Planning and Buying","","Fundamentals of media planning and buying across traditional and new media; how each media channel works independently and as part of an integrated media plan.","","PR",20251,0,1,"SP25","Integrated Media Planning and Buying -  - Fundamentals of media planning and buying across traditional and new media; how each media channel works independently and as part of an integrated media plan.","AY25","SP25","undergrad upper division"
21257,"JOUR-412","Annenberg School for Communication and Journalism",1,"Podcasting: Origin Stories","","A foundational understanding of the historic, cultural and theoretical underpinning of the podcast medium with an emphasis on critical listening.","","JOUR",20251,0,1,"SP25","Podcasting: Origin Stories -  - A foundational understanding of the historic, cultural and theoretical underpinning of the podcast medium with an emphasis on critical listening.","AY25","SP25","undergrad upper division"
21263,"PR-458","Annenberg School for Communication and Journalism",1,"Political Public Relations and Advocacy","","Application of public relations principles to the context of political campaigns; emphasis on message development and delivery; relationship between candidate, news media, and electorate.","","PR",20251,0,1,"SP25","Political Public Relations and Advocacy -  - Application of public relations principles to the context of political campaigns; emphasis on message development and delivery; relationship between candidate, news media, and electorate.","AY25","SP25","undergrad upper division"
21266,"PR-454","Annenberg School for Communication and Journalism",1,"Sports Public Relations","","Introduction to the field of sports information and promotion, including lectures, media assignments, role-playing, and presentations by sports professionals.","","PR",20251,0,1,"SP25","Sports Public Relations -  - Introduction to the field of sports information and promotion, including lectures, media assignments, role-playing, and presentations by sports professionals.","AY25","SP25","undergrad upper division"
21269,"PR-457","Annenberg School for Communication and Journalism",1,"The Role of Celebrity in Public Relations","","Understanding of the history and application of celebrity in public relations, focusing on the entertainment industry and the notoriety attached to politics and the media.","","PR",20251,0,1,"SP25","The Role of Celebrity in Public Relations -  - Understanding of the history and application of celebrity in public relations, focusing on the entertainment industry and the notoriety attached to politics and the media.","AY25","SP25","undergrad upper division"
21270,"PR-487","Annenberg School for Communication and Journalism",1,"Multimedia PR Content: Introduction to Audio/Video Tools","","Hands-on lab; audio/video tools for conceiving, shooting, editing, delivering and archiving compelling stories for online audiences; personal brand building; digital storytelling trends and applications.","","PR",20251,0,2,"SP25","Multimedia PR Content: Introduction to Audio/Video Tools -  - Hands-on lab; audio/video tools for conceiving, shooting, editing, delivering and archiving compelling stories for online audiences; personal brand building; digital storytelling trends and applications.","AY25","SP25","undergrad upper division"
21272,"PR-452","Annenberg School for Communication and Journalism",1,"Public Relations in Entertainment","","Public relations in the design, promotion, and presentation of popular entertainment, including films, broadcasting, music, expositions, amusement parks, resorts and arenas.","","PR",20251,0,1,"SP25","Public Relations in Entertainment -  - Public relations in the design, promotion, and presentation of popular entertainment, including films, broadcasting, music, expositions, amusement parks, resorts and arenas.","AY25","SP25","undergrad upper division"
21281,"JOUR-488","Annenberg School for Communication and Journalism",1,"Data-Driven Storytelling About Los Angeles","","Students work with a decades worth of data about Los Angeles to develop probing news narratives about the city around us.","","JOUR",20251,0,1,"SP25","Data-Driven Storytelling About Los Angeles -  - Students work with a decades worth of data about Los Angeles to develop probing news narratives about the city around us.","AY25","SP25","undergrad upper division"
21285,"JOUR-425","Annenberg School for Communication and Journalism",1,"Advanced Radio News Production","","Production of public radio news: producing real-time newscasts for Annenberg Radio News.  Newsgathering, assigning stories, anchoring, interviewing, working with reporters, editing and producing live programming.","","JOUR",20251,0,1,"SP25","Advanced Radio News Production -  - Production of public radio news: producing real-time newscasts for Annenberg Radio News.  Newsgathering, assigning stories, anchoring, interviewing, working with reporters, editing and producing live programming.","AY25","SP25","undergrad upper division"
21287,"JOUR-430","Annenberg School for Communication and Journalism",1,"Writing the Film Review","","Techniques of writing the film review; preparation and treatment of form and content; problems, responsibilities and ethics of film reviewing.","","JOUR",20251,0,1,"SP25","Writing the Film Review -  - Techniques of writing the film review; preparation and treatment of form and content; problems, responsibilities and ethics of film reviewing.","AY25","SP25","undergrad upper division"
21292,"JOUR-432","Annenberg School for Communication and Journalism",1,"Sports Commentary","","Techniques of reporting and writing sports columns and commentary for print, video, radio and Web-based media.","","JOUR",20251,0,1,"SP25","Sports Commentary -  - Techniques of reporting and writing sports columns and commentary for print, video, radio and Web-based media.","AY25","SP25","undergrad upper division"
21295,"JOUR-435","Annenberg School for Communication and Journalism",1,"Writing Magazine Non-Fiction","Castaneda, Laura","A seminar in ""how to"" interview, research, write -- and place -- professional quality articles for a full range of magazines/newspapers including women's, sports, ethnic, local and national.","","JOUR",20251,0,1,"SP25","Writing Magazine Non-Fiction -  - A seminar in ""how to"" interview, research, write -- and place -- professional quality articles for a full range of magazines/newspapers including women's, sports, ethnic, local and national.","AY25","SP25","undergrad upper division"
21299,"JOUR-441","Annenberg School for Communication and Journalism",1,"Sports Reporting","","News and feature coverage of sporting events, including social and economic factors influencing sports in America.","","JOUR",20251,0,1,"SP25","Sports Reporting -  - News and feature coverage of sporting events, including social and economic factors influencing sports in America.","AY25","SP25","undergrad upper division"
21309,"PR-464","Annenberg School for Communication and Journalism",1,"Advanced Lifestyle Public Relations","","In-depth look at various aspects of Lifestyle PR with special emphasis on food, fashion and beauty, travel/tourism, hospitality, furniture/housewares, toys and more.","","PR",20251,0,2,"SP25","Advanced Lifestyle Public Relations -  - In-depth look at various aspects of Lifestyle PR with special emphasis on food, fashion and beauty, travel/tourism, hospitality, furniture/housewares, toys and more.","AY25","SP25","undergrad upper division"
21312,"PR-478","Annenberg School for Communication and Journalism",1,"Social Media Analytics: Data and Content Creation for Real-time Public Relations","Le Veque, Matthew, K","Application of monitoring tools to become social media analysts and real-time content creators; interpretation of large data sets drawn from the social web; understanding of how to present data visually for optimal impact.","","PR",20251,0,1,"SP25","Social Media Analytics: Data and Content Creation for Real-time Public Relations -  - Application of monitoring tools to become social media analysts and real-time content creators; interpretation of large data sets drawn from the social web; understanding of how to present data visually for optimal impact.","AY25","SP25","undergrad upper division"
21314,"PR-486","Annenberg School for Communication and Journalism",1,"Multimedia PR Content: Introduction to Digital Design Tools","","Hands-on lab; producing multimedia content; basic principles of design; tools and techniques to create digital images and layouts.","","PR",20251,0,1,"SP25","Multimedia PR Content: Introduction to Digital Design Tools -  - Hands-on lab; producing multimedia content; basic principles of design; tools and techniques to create digital images and layouts.","AY25","SP25","undergrad upper division"
21372,"JOUR-463","Annenberg School for Communication and Journalism",1,"Evolution of Asian Americans and the Media","","History of Asians and Pacific Islanders and how media and journalism played a role in perpetuating narratives and stereotypes that exist to this day.","","JOUR",20251,0,1,"SP25","Evolution of Asian Americans and the Media -  - History of Asians and Pacific Islanders and how media and journalism played a role in perpetuating narratives and stereotypes that exist to this day.","AY25","SP25","undergrad upper division"
21373,"JOUR-462","Annenberg School for Communication and Journalism",1,"Law of Mass Communication","Kotler, Jonathan","Press law; government controls on the news media; legal responsibilities of the journalist.","","JOUR",20251,0,3,"SP25","Law of Mass Communication -  - Press law; government controls on the news media; legal responsibilities of the journalist.","AY25","SP25","undergrad upper division"
21376,"JOUR-481","Annenberg School for Communication and Journalism",1,"The Athlete, Sports Media and Popular Culture","Saltzman, Joe;Fellenzer, Jeff, C.","Analysis of the images of the athlete and sports media helps us understand how sports dramatically affects such social issues as race, class and gender.","","JOUR",20251,0,1,"SP25","The Athlete, Sports Media and Popular Culture -  - Analysis of the images of the athlete and sports media helps us understand how sports dramatically affects such social issues as race, class and gender.","AY25","SP25","undergrad upper division"
21378,"JOUR-485","Annenberg School for Communication and Journalism",1,"Sports Investigative Reporting","","Produce compelling investigative sports stories culminating in an original and publishable final project.","","JOUR",20251,0,1,"SP25","Sports Investigative Reporting -  - Produce compelling investigative sports stories culminating in an original and publishable final project.","AY25","SP25","undergrad upper division"
21380,"JOUR-465","Annenberg School for Communication and Journalism",1,"Latino News Media in the United States","Castaneda, Laura","History and growing importance of Latino print and broadcast news media in covering immigration, discrimination, culture, social differences and other aspects of U.S. Latino life.","","JOUR",20251,0,1,"SP25","Latino News Media in the United States -  - History and growing importance of Latino print and broadcast news media in covering immigration, discrimination, culture, social differences and other aspects of U.S. Latino life.","AY25","SP25","undergrad upper division"
21388,"JOUR-475","Annenberg School for Communication and Journalism",1,"Print and Digital Design for 21st Century Storytelling","","Art, typography, and other graphic elements in publication design; traditional, contemporary, and advanced production methods, processes, and equipment; representative examples; practice in design.","","JOUR",20251,0,1,"SP25","Print and Digital Design for 21st Century Storytelling -  - Art, typography, and other graphic elements in publication design; traditional, contemporary, and advanced production methods, processes, and equipment; representative examples; practice in design.","AY25","SP25","undergrad upper division"
21390,"PR-523","Annenberg School for Communication and Journalism",1,"Advanced Audience Insight Mining","Kim, Eunjin (Anna)","Provides student training with cutting-edge digital research methods and applied data analytic skills relevant to current and future public relations and advertising practices.","","PR",20251,0,3,"SP25","Advanced Audience Insight Mining -  - Provides student training with cutting-edge digital research methods and applied data analytic skills relevant to current and future public relations and advertising practices.","AY25","SP25","graduate"
21396,"PR-524","Annenberg School for Communication and Journalism",1,"Multimedia Content Creation for Brand Storytelling I","","Covers the conceptualization and creation of strategy-based, engaging, primarily web-based multimedia content for use by organizations of all types.","","PR",20251,0,5,"SP25","Multimedia Content Creation for Brand Storytelling I -  - Covers the conceptualization and creation of strategy-based, engaging, primarily web-based multimedia content for use by organizations of all types.","AY25","SP25","graduate"
21438,"JOUR-498","Annenberg School for Communication and Journalism",1,"Honors Seminar","Davis, Laura","Intensive study of a subject of contemporary relevance or of professional importance to journalists and public relations practitioners.","","JOUR",20251,0,1,"SP25","Honors Seminar -  - Intensive study of a subject of contemporary relevance or of professional importance to journalists and public relations practitioners.","AY25","SP25","undergrad upper division"
21439,"PR-498","Annenberg School for Communication and Journalism",1,"Public Relations Honors Seminar","Cook, Fred","Leadership workshop inspires students to be braver and more creative; encourages them to discover their leadership potential/explore new challenges inside and outside of classroom.","","PR",20251,0,1,"SP25","Public Relations Honors Seminar -  - Leadership workshop inspires students to be braver and more creative; encourages them to discover their leadership potential/explore new challenges inside and outside of classroom.","AY25","SP25","undergrad upper division"
21446,"PR-491","Annenberg School for Communication and Journalism",1,"Fan Relations","Jenkins, Henry;Kozinets, Robert","Examines fan relationships and explores fan activation strategies across sports, television, motion pictures, music, comic books, theme parks, social media and more.","","PR",20251,0,1,"SP25","Fan Relations -  - Examines fan relationships and explores fan activation strategies across sports, television, motion pictures, music, comic books, theme parks, social media and more.","AY25","SP25","undergrad upper division"
21449,"JOUR-480","Annenberg School for Communication and Journalism",1,"Sports and Media Technology","Fellenzer, Jeff, C.","Examine and analyze the ever-changing technology sector of the sports business and sports media worlds. Identify emerging technologies being developed in the sports industry and how they are being utilized to enhance the fan experience.","","JOUR",20251,0,1,"SP25","Sports and Media Technology -  - Examine and analyze the ever-changing technology sector of the sports business and sports media worlds. Identify emerging technologies being developed in the sports industry and how they are being utilized to enhance the fan experience.","AY25","SP25","undergrad upper division"
21450,"PR-492","Annenberg School for Communication and Journalism",1,"Personal Branding","","Learn to build, promote and manage a personal brand through critical analysis, case study, interactive interpretation and creative problem solving.","","PR",20251,0,1,"SP25","Personal Branding -  - Learn to build, promote and manage a personal brand through critical analysis, case study, interactive interpretation and creative problem solving.","AY25","SP25","undergrad upper division"
21453,"PR-499","Annenberg School for Communication and Journalism",1,"Special Topics","","Selected topics in public relations.","Creativity, Concepting and Copywriting for Advertising","PR",20251,0,1,"SP25","Special Topics - Creativity, Concepting and Copywriting for Advertising - Selected topics in public relations.","AY25","SP25","undergrad upper division"
21454,"PR-499","Annenberg School for Communication and Journalism",1,"Special Topics","","Selected topics in public relations.","The Power of the Pitch: Big Asks and Public Speaking for a Better Future","PR",20251,0,1,"SP25","Special Topics - The Power of the Pitch: Big Asks and Public Speaking for a Better Future - Selected topics in public relations.","AY25","SP25","undergrad upper division"
21455,"PR-499","Annenberg School for Communication and Journalism",1,"Special Topics","","Selected topics in public relations.","Crisis Communication in Strategic Public Relations","PR",20251,0,1,"SP25","Special Topics - Crisis Communication in Strategic Public Relations - Selected topics in public relations.","AY25","SP25","undergrad upper division"
21456,"PR-501","Annenberg School for Communication and Journalism",1,"Advocacy Communications","","Study and evaluation of communications campaigns by civil society actors to influence public policy with a focus on messaging and efforts to shape news coverage.","","PR",20251,0,1,"SP25","Advocacy Communications -  - Study and evaluation of communications campaigns by civil society actors to influence public policy with a focus on messaging and efforts to shape news coverage.","AY25","SP25","graduate"
21500,"JOUR-524","Annenberg School for Communication and Journalism",1,"Advanced Video Reporting","","Reporting, production and writing for broadcast and other video platforms; practical experience; role of the video broadcast journalist; similarities and differences between media.","","JOUR",20251,0,1,"SP25","Advanced Video Reporting -  - Reporting, production and writing for broadcast and other video platforms; practical experience; role of the video broadcast journalist; similarities and differences between media.","AY25","SP25","graduate"
21515,"JOUR-525","Annenberg School for Communication and Journalism",1,"This California Life: Storytelling for Radio and Podcasting","Tolan, Sandy","Advanced production techniques for public radio-style reports: writing, sound, editing, narrative voice. Techniques applicable for broadcast features or Web audio documentaries.","","JOUR",20251,0,1,"SP25","This California Life: Storytelling for Radio and Podcasting -  - Advanced production techniques for public radio-style reports: writing, sound, editing, narrative voice. Techniques applicable for broadcast features or Web audio documentaries.","AY25","SP25","graduate"
21528,"PR-529","Annenberg School for Communication and Journalism",1,"Business and Economic Foundations for Communicators","Tenderich, Burghardt","Speaking the language of the board room; understanding business goals and objectives; economic literacy; financial/investor relations;  understanding organizational disciplines and how they relate to corporate communication; PR/communication business processes and management.","","PR",20251,0,5,"SP25","Business and Economic Foundations for Communicators -  - Speaking the language of the board room; understanding business goals and objectives; economic literacy; financial/investor relations;  understanding organizational disciplines and how they relate to corporate communication; PR/communication business processes and management.","AY25","SP25","graduate"
21538,"JOUR-494","Annenberg School for Communication and Journalism",1,"Python Coding for Data Journalism","","Python coding language to gather, parse and analyze data for investigative news reporting.","","JOUR",20251,0,1,"SP25","Python Coding for Data Journalism -  - Python coding language to gather, parse and analyze data for investigative news reporting.","AY25","SP25","undergrad upper division"
21558,"PR-599","Annenberg School for Communication and Journalism",1,"Special Topics","Yang, Aimei","Seminar in selected topics in journalism.","AI-Assisted Strategic Communication","PR",20251,0,1,"SP25","Special Topics - AI-Assisted Strategic Communication - Seminar in selected topics in journalism.","AY25","SP25","graduate"
21560,"PR-565","Annenberg School for Communication and Journalism",1,"Corporate Public Relations and Reputation","","Learn all aspects of corporate communications and reputation management through real-time news analysis, cases and senior guest speakers from the world's largest, most admired companies.","","PR",20251,0,1,"SP25","Corporate Public Relations and Reputation -  - Learn all aspects of corporate communications and reputation management through real-time news analysis, cases and senior guest speakers from the world's largest, most admired companies.","AY25","SP25","graduate"
21563,"PR-568","Annenberg School for Communication and Journalism",1,"Crisis Management in Strategic Public Relations","","Focuses on theories, concepts and practices in risk assessment, issues monitoring, and crisis anticipation/management in a wide variety of organizational contexts, and from multiple perspectives.","","PR",20251,0,2,"SP25","Crisis Management in Strategic Public Relations -  - Focuses on theories, concepts and practices in risk assessment, issues monitoring, and crisis anticipation/management in a wide variety of organizational contexts, and from multiple perspectives.","AY25","SP25","graduate"
21569,"JOUR-542","Annenberg School for Communication and Journalism",1,"Foreign Affairs Reporting","","News stories analyzed, researched, and critiqued for validity and background; projects to include editorials, news stories, magazine articles or broadcast reports.","","JOUR",20251,0,1,"SP25","Foreign Affairs Reporting -  - News stories analyzed, researched, and critiqued for validity and background; projects to include editorials, news stories, magazine articles or broadcast reports.","AY25","SP25","graduate"
