"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","Link","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","DEPARTMENT","origin"
"21265","PR-450","ANSC","1","4","4","Advanced Strategic Public Relations","C","","Y","14:00:00","17:20:00","T","15","","Tenderich, Burghardt","ANN408","15","In-depth study of methods for planning, managing and evaluating strategic communication campaigns; critical analysis of contemporary cases; development of campaigns for real world c","PR","20201"
"21266","PR-454","ANSC","1","2","2","Sports Public Relations","C","","Y","18:30:00","20:10:00","M","22","","Moeller, Jeffrey, Scott","ANN210","22","Introduction to the field of sports information and promotion, including lectures, media assignments, role-playing, and presentations by sports professionals.","PR","20201"
"21267","PR-452","ANSC","1","4","4","Public Relations in Entertainment","C","","Y","18:30:00","21:50:00","H","21","","Fehily, Joy","ANNL115","21","Public relations in the design, promotion, and presentation of popular entertainment, including films, broadcasting, music, expositions, amusement parks, resorts and arenas.","PR","20201"
"21268","JOUR-414","ANSC","1","2","2","Advanced Digital Media Storytelling","C","","Y","09:00:00","10:40:00","H","18","","Horowitz, Joy;Haggerty, Rebecca, Marie","ANN408","18","Production of a well-reported advanced multimedia package, with a blend of text, audio, video, photos, navigation and interactivity; final projects will be published by the Annenber","JOUR","20201"
"21269","PR-457","ANSC","1","4","4","The Role of Celebrity in Public Relations","C","","Y","18:30:00","21:50:00","W","28","","O'Hagan, Jennie","ANN406","28","Understanding of the history and application of celebrity in public relations, focusing on the entertainment industry and the notoriety attached to politics and the media.","PR","20201"
"21270","PR-487","ANSC","1","2","2","Multimedia PR Content: Introduction to Audio/Video Tools","C","","Y","16:00:00","17:40:00","W","15","","Dunsmore, Summer","ANN308","15","Hands-on lab; audio/video tools for conceiving, shooting, editing, delivering and archiving compelling stories for online audiences; personal brand building; digital storytelling tr","PR","20201"
"21287","JOUR-430","ANSC","1","4","4","Writing the Film Review","C","","Y","18:00:00","21:20:00","T","15","","Turan, Kenneth","ANN408","15","Techniques of writing the film review; preparation and treatment of form and content; problems, responsibilities and ethics of film reviewing.","JOUR","20201"
"21292","JOUR-432","ANSC","1","4","4","Sports Commentary","C","","Y","18:30:00","21:50:00","W","11","","theoharis, Amber","ANN305","11","Techniques of reporting and writing sports columns and commentary for print, video, radio and Web-based media.","JOUR","20201"
"21293","JOUR-432","ANSC","1","4","4","Sports Commentary","C","","Y","18:30:00","21:50:00","M","16","","Smith, Shelley","ANN305","16","Techniques of reporting and writing sports columns and commentary for print, video, radio and Web-based media.","JOUR","20201"
"21294","JOUR-448","ANSC","207","4","4","Government and Public Affairs Reporting","C","","Y","","","","9","","Hirsch, Afua, Caroline;Kelly, Kathryn","OFFICE","9","Techniques for covering beats that are the foundation of daily newspaper reporting, including crime, education, immigration and local government.","JOUR","20201"
"21295","JOUR-448","ANSC","1","4","4","Government and Public Affairs Reporting","C","","Y","09:00:00","12:20:00","T","16","","Bellantoni, Christina, Marie;Haggerty, Rebecca, Marie","ASC240","16","Techniques for covering beats that are the foundation of daily newspaper reporting, including crime, education, immigration and local government.","JOUR","20201"
"21310","PR-463","ANSC","1","4","4","Strategic Public Relations Research, Analysis and Insights","C","","Y","14:00:00","17:20:00","M","12","","Floto, Jennifer, Dayle","ANN405","12","Identification of key strategic insights that drive successful communication campaigns, based on research techniques including surveys, content evaluation and social media monitorin","PR","20201"
"21312","PR-478","ANSC","1","4","4","Social Media Analytics: Data and Content Creation for Real-time Public Relations","C","","Y","14:00:00","17:20:00","T","23","","Leveque, Matthew, K","ANN305","23","Application of monitoring tools to become social media analysts and real-time content creators; interpretation of large data sets drawn from the social web; understanding of how to","PR","20201"
"21314","PR-486","ANSC","1","2","2","Multimedia PR Content: Introduction to Digital Design Tools","C","","Y","12:00:00","13:40:00","W","19","","De La Fuente, Jennifer","ANN413","19","Hands-on lab; producing multimedia content; basic principles of design; tools and techniques to create digital images and layouts.","PR","20201"
"21318","PR-510","ANSC","1","3","3","Legal, Ethical and Social Foundations of Strategic Public Re","C","","Y","18:00:00","20:30:00","W","19","","Quast, Dave","ANN211","19","Explores the origins, effects of, and processes for adhering to the complex network of legal, ethical and social responsibilities of the contemporary PR practitioner.","PR","20201"
"21319","PR-510","ANSC","1","3","3","Legal, Ethical and Social Foundations of Strategic Public Re","C","","Y","18:30:00","21:00:00","T","21","","Gavigan, Susan","ANN211","21","Explores the origins, effects of, and processes for adhering to the complex network of legal, ethical and social responsibilities of the contemporary PR practitioner.","PR","20201"
"21320","PR-510","ANSC","1","3","3","Legal, Ethical and Social Foundations of Strategic Public Re","C","","Y","18:30:00","21:00:00","M","16","","Yang, Aimei","ANN211","16","Explores the origins, effects of, and processes for adhering to the complex network of legal, ethical and social responsibilities of the contemporary PR practitioner.","PR","20201"
"21330","PR-527","ANSC","1","3","3","Multimedia Content Creation for Strategic Public Relations","C","","Y","14:00:00","16:30:00","M","16","","Leveque, Matthew, K","ANN309","16","Covers the conceptualization and creation of strategy-based, engaging, primarily web-based multimedia content for use by organizations of all types.","PR","20201"
"21331","PR-527","ANSC","1","3","3","Multimedia Content Creation for Strategic Public Relations","C","","Y","18:00:00","20:30:00","T","16","","De La Fuente, Jennifer","ANN309","16","Covers the conceptualization and creation of strategy-based, engaging, primarily web-based multimedia content for use by organizations of all types.","PR","20201"
"21332","PR-527","ANSC","1","3","3","Multimedia Content Creation for Strategic Public Relations","C","","Y","18:30:00","21:00:00","W","15","","Jenisch, Josh","ANN413","15","Covers the conceptualization and creation of strategy-based, engaging, primarily web-based multimedia content for use by organizations of all types.","PR","20201"
"21333","PR-527","ANSC","1","3","3","Multimedia Content Creation for Strategic Public Relations","C","","Y","18:30:00","21:00:00","T","10","","Bishop, Gregory, William","ANN307","10","Covers the conceptualization and creation of strategy-based, engaging, primarily web-based multimedia content for use by organizations of all types.","PR","20201"
"21360","JOUR-575","ANSC","226","2","4","Converged Media Center","C","","Y","11:00:00","14:50:00","F","1","","Mittelstaedt, Alan, Michael;Lee, May, H.","ASC240","1","Advanced multimedia news production; preparation and treatment of form and content; procedures, problems, ethics, and practice in operating a daily, 24-7 news outlet.","JOUR","20201"
"21370","JOUR-499","ANSC","1","4","4","Special Topics","C","","Y","09:00:00","12:20:00","M","13","","Cohn, Gary","ANN211","13","Selected topics in journalism.","JOUR","20201"
"21374","JOUR-462","ANSC","1","4","4","Law of Mass Communication","C","","Y","09:00:00","12:20:00","T","7","","Stanley, Jill","ANNL115","7","Press law; government controls on the news media; legal responsibilities of the journalist.","JOUR","20201"
"21376","JOUR-481","ANSC","1","4","4","The Athlete, Sports Media and Popular Culture","C","","Y","14:00:00","17:20:00","W","33","","Fellenzer, Jeffrey, C;Saltzman, Joe","ANNL116","33","Analysis of the images of the athlete and sports media helps us understand how sports dramatically affects such social issues as race, class and gender.","JOUR","20201"
"214","PDF-999","RNR","74","0","0","Postdoctoral Fellows","C","","Y","","","","496","","","OFFICE","496","Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","PDF","20201"
"21402","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","de la Fuente, Jennifer","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21403","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Kim, Eunjin (anna)","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21405","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Kim, Su Jung","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21406","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Abrahamson, Alan, Yale","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21407","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","1","","Aguilar, Amara, Suzanne","OFFICE","1","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21408","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Anawalt, Sasha, C","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21409","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Cook, Fred, Henry","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21410","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Bellantoni, Christina, Marie","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21411","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Birman, Daniel, H","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21412","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Bustamante, Peggy, Lynn","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21413","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Castaneda, Laura, Padilla","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21414","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Celis, William","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21415","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Cowan, Geoffrey, Geoffrey","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21416","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","1","","Floto, Jennifer, Dayle","OFFICE","1","Individual research and readings. Not available for graduate credit.","PR","20201"
"21417","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Chinn, Dana, L","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21418","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Kozinets, Robert","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21419","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Plocek, Keith","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21420","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Davis, Laura","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21421","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Gonzales, Vince, Vincent","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21422","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","1","","Haggerty, Rebecca, Marie","OFFICE","1","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21423","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Jenkins, Henry","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21424","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Leveque, Matthew, K","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21425","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Hernandez, Robert, Nicolas","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21426","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Tenderich, Burghardt","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21427","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Kahn, Gabriel, Abraham","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21428","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","H","0","","Tolan, Sandy, M","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21429","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Kotler, Jonathan","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21430","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","1","","Mittelstaedt, Alan, Michael","OFFICE","1","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21431","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","7","","Turner, Myra, Penelope","OFFICE","7","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21432","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Stables, Gordon","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21433","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Parks, Michael","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21434","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","1","","Pecot-Hebert, Lisa","OFFICE","1","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21435","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Reeves, Richard","OFFICE","0","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21436","JOUR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","1","","Saltzman, Joe","OFFICE","1","Individual research and readings. Not available for graduate credit.","JOUR","20201"
"21437","PR-490","ANSC","1","1","8","Directed Research","C","","Y","","","","0","","Wang, Jay","OFFICE","0","Individual research and readings. Not available for graduate credit.","PR","20201"
"21438","JOUR-498","ANSC","1","2","2","Honors Seminar","C","","Y","10:00:00","11:40:00","T","11","","Seib, Philip","ASC331","11","Intensive study of a subject of contemporary relevance or of professional importance to journalists and public relations practitioners.","JOUR","20201"
"21439","PR-498","ANSC","1","2","2","Public Relations Honors Seminar","C","","Y","14:00:00","15:40:00","T","12","","Cook, Fred, Henry","ASC331","12","Leadership workshop inspires students to be braver and more creative; encourages them to discover their leadership potential/explore new challenges inside and outside of classroom.","PR","20201"
