"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00900","USC-100","RNR","059","1.0","16.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","0","","Chang, Frank","OFF CAMPUS","0","The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20262"
"00941","RNR-050","RNR","808","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20262"
"00942","RNR-050","RNR","810","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20262"
"00943","RNR-050","RNR","617","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20262"
"00944","RNR-050","RNR","678","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20262"
"00945","RNR-051","RNR","199","0.0","0.0","International Academy Holding Course (Part II)","C","","Y","TBA","TBA","","0","","","OFFICE","0","Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student population. This course serves the popuation that has successfully completed RNR-050.  Tuition is paid directly to the Academy.","","RNR","20262"
"02603","LAW-200","LAW","076","4.0","4.0","Law and Society","CD","","Y","TBA","TBA","","21","A","Campbell, Dave","ASYNC","21","Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20262"
"02614","LAW-205","LAW","045","4.0","4.0","Introduction to Criminal Law","C","","Y","17:00","19:20","TH","3","","Johnson, Peter","","3","Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","","LAW","20262"
"02615","LAW-402","LAW","086","4.0","4.0","Psychology and Law","C","","Y","16:00","19:10","MW","10","","Larson, Rakel","","10","Explores issues of responsibility and credibility.  Intentional and unintentional behavior.  Clinical biases.  Topics include witness credibility, confessions, cults, hostages, battered persons, and repressed memories.","","LAW","20262"
"02652","LAW-498","LAW","070","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02653","LAW-498","LAW","076","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02654","LAW-498","LAW","021","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02655","LAW-498","LAW","022","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02656","LAW-498","LAW","067","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02657","LAW-498","LAW","086","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02658","LAW-498","LAW","096","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02659","LAW-498","LAW","045","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","0","","Rodgers, Jeff","OFFICE","0","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02660","LAW-498","LAW","081","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","1","","Rodgers, Jeff","OFFICE","1","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02661","LAW-498","LAW","122","1.0","4.0","Law Internship","C","","Y","TBA","TBA","","1","","Rodgers, Jeff","OFFICE","1","Intensive experience with a law-related non-profit organization, or public agency.","","LAW","20262"
"02680","LAW-101","LAW","070","4.0","4.0","Law and the U.S. Constitution in Global History","CD","","Y","TBA","TBA","","11","A","Radd, Benjamin","ASYNC","11","By examining key constitutional moments involving race, rights, and revolutions, students will explore how legal meaning changes over time.","","LAW","20262"
"03915","LAW-596","LAW","503","1.0","1.0","Internship for Curricular Practical Training","C","","Y","TBA","TBA","","7","","Weiss, Deborah","OFFICE","7","Part-time or full-time, practical work experience in the student's field of study. The internship must be located at an off-campus facility. Students are individually supervised by faculty. May not be taken until the student has completed at least one semester of enrollment in the graduate program w ith a cumulative 3.0 GPA.","","LAW","20262"
"07975","PHYS-750O","LASN","059","3.0","3.0","Off Campus Studies","C","","Y","TBA","TBA","","0","","","OFFICE","0","Coursework taken on campus at Caltech as part of the Caltech-USC cross-registration program.  Graded CR/NC.","","PHYS","20262"
"10201","ACAD-176","ACAD","076","4.0","4.0","Rapid Visualization","C","","Y","10:00","12:50","MTW","0","A","Bellali, Safir","ONLINE","0","Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills.","","ACAD","20262"
"10209","ACAD-181","ACAD","070","4.0","4.0","Disruptive Innovation","C","","Y","10:00","12:50","MTW","4","A","Swain, Chris","ONLINE","4","Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students.","","ACAD","20262"
"10220","ACAD-191","ACAD","060","2.0","2.0","Python for Machine Intelligence","CL","","Y","18:00","20:10","W","3","A","Hewitt, Douglas","ONLINE","3","Python programming for machine learning; topics include classification systems, training models, support vector machines, decision trees and random forests and ensemble learning.","","ACAD","20262"
"10256","ACAD-324","ACAD","070","4.0","4.0","The Practice of Design: Ideation to Innovation","C","","Y","14:00","18:00","TH","3","A","Wolter, Davina","ONLINE","3","History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.","","ACAD","20262"
"10258","ACAD-419","ACAD","060","1.0","2.0","Professional Internship","C","","Y","TBA","TBA","","1","A","Dent, Patrick, H","ONLINE","1","An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","","ACAD","20262"
"10276","ACAD-419","ACAD","070","1.0","2.0","Professional Internship","C","","N","TBA","TBA","","0","A","Dent, Patrick, H","ONLINE","0","An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","","ACAD","20262"
"10296","ACAD-419","ACAD","076","1.0","2.0","Professional Internship","C","","N","TBA","TBA","","0","A","Dent, Patrick, H","ONLINE","0","An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship.","","ACAD","20262"
"10310","AMST-101","LASS","076","4.0","4.0","Race and Class in Los Angeles","CD","","Y","09:00","11:50","TWH","24","A","Nieva, Chrisshonna, Grant","ONLINE","24","Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.","","AMST","20262"
"10320","AMST-135","LAS","070","4.0","4.0","Peoples and Cultures of the Americas","CD","","Y","12:30","15:20","TWH","20","A","Chavez, Alicia, L.","ONLINE","20","An introduction to cultures and people in the Americas; the social, historical, economic and cultural formations that together make up the Latino/a American imaginary.","","AMST","20262"
"10347","AMST-200","LAS","070","4.0","4.0","Introduction to American Studies and Ethnicity","CD","","Y","09:00","11:50","TWH","6","A","Chavez, Alicia, L.","ONLINE","6","Introduction to American studies and ethnic studies. Provides an overview of major theories, concepts, and issues.","","AMST","20262"
"10360","AMST-205","LAS","070","4.0","4.0","Introduction to American Popular Culture","CD","","Y","09:00","11:50","MWF","27","A","","ONLINE","27","Examines the relation between U.S. national culture, race, and popular culture.","","AMST","20262"
"10363","AMST-206","LAS","076","4.0","4.0","The Politics and Culture of the 1960s","CD","","Y","12:30","15:20","TWH","10","A","Nieva, Chrisshonna, Grant","ONLINE","10","Examines political and cultural change in the United States during the decade of the 1960s.","","AMST","20262"
"10390","AMST-274","LAS","070","4.0","4.0","Exploring Ethnicity through Film","CD","","Y","09:00","11:50","MWF","17","A","Finley, Chris","ONLINE","17","Examination of the constructions of American ethnicity/race in film.","","AMST","20262"
"10399","AMST-285","LASS","076","4.0","4.0","African American Popular Culture","CD","","Y","13:00","15:50","TWH","5","A","Jacobs, Lanita","ONLINE","5","Examines history of popular cultural forms such as literature, music, dance, theater, and visual arts produced by and about African Americans.","","AMST","20262"
"10400","AMST-285","LASS","076","4.0","4.0","African American Popular Culture","CD","","Y","09:00","11:50","TWH","4","A","Jacobs, Lanita","ONLINE","4","Examines history of popular cultural forms such as literature, music, dance, theater, and visual arts produced by and about African Americans.","","AMST","20262"
"10408","AMST-301","LAS","076","4.0","4.0","America, the Frontier, and the New West","CD","","Y","10:00","12:50","MTW","29","A","Finley, Chris","ONLINE","29","Introduction to an interdisciplinary study of American political, cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200, ENGL 263","","AMST","20262"
"10550","SGY-501A","MED","059","3.0","3.0","Perfusion Technology and Techniques","C","","Y","13:00","14:50","TH","6","","","KAMB40/42","6","An introduction into the heart-lung machine technology and techniques utilized in cardiovascular perfusion.","","SGY","20262"
"10551","SGY-510A","MED","059","4.0","4.0","Cardiovascular Applications","C","","Y","13:00","15:00","MW","6","","","KAMB40/42","6","An overview of the relevant anatomy, physiology and pathophysiology of the cardiac, vascular and other systems related to cardiovascular surgery, as well as pharmacology relevant to the cardiac patient.","","SGY","20262"
"10552","SGY-521","MED","059","4.0","4.0","Simulation of Clinical Perfusion: Fundamental Skills","C","","Y","08:00","12:00","MW","6","","","OFFICE","6","An introduction into the practical applications of cardiopulmonary bypass utilizing simulation equipment and simulated cardiac surgery procedures.","","SGY","20262"
"10628","ANTH-338","LAS","070","4.0","4.0","Food in Culture and Society","C","","Y","09:00","11:50","MTW","25","A","Ruiz, Xochitl","ONLINE","25","An introduction to the field of food studies, as a historical and cross-disciplinary study of the place of food in culture and society.","","ANTH","20262"
"10700","ANTH-201","LAS","050","4.0","4.0","Introduction to Social and Cultural Anthropology","C","","Y","12:30","15:20","TWH","2","","Zeamer, Emily;Jahoda-Brown, Emma, Charlotte","KAP140","2","Introduction to social and cultural anthropology, emphasizing the study of human values and social structures across diverse examples. Readings in ethnography and social analysis. Gateway course for the Anthropology Major.","","ANTH","20262"
"10701","ANTH-201","LAS","050","0.0","0.0","Introduction to Social and Cultural Anthropology","D","","Y","11:00","11:50","F","2","","Jahoda-Brown, Emma, Charlotte","KAP140","2","Introduction to social and cultural anthropology, emphasizing the study of human values and social structures across diverse examples. Readings in ethnography and social analysis. Gateway course for the Anthropology Major.","","ANTH","20262"
"11204","ARCH-105A","ARCH","051","2.0","2.0","Fundamentals of Design Communication","CL","","Y","12:00","16:50","TH","0","","","OFFICE","0","Visual communication techniques applicable to the design of the built environment; drawing, photography, modeling.","","ARCH","20262"
"11205","ARCH-102A","ARCH","051","4.0","4.0","Architectural Design I","CL","","Y","12:00","17:50","MWF","0","","","OFFICE","0","Introduction to principles and processes; sequence of exercises emphasizing development of basic skills, ideas, and techniques used in the design of simplified architectural projects.","","ARCH","20262"
"11218","ARCH-410","ARCH","258","2.0","2.0","Computer Transformations","C","","Y","14:00","15:50","TH","0","A","Catalan, Vlanka","ONLINE","0","To explore the potential of computer-integrated design software; to develop techniques for critical analysis of architectural precedents; to expand the ability to visualize options; to expand perception; and to learn the basics of computer-integrated design.","","ARCH","20262"
"11219","ARCH-410","ARCH","263","2.0","2.0","Computer Transformations","C","","Y","14:00","15:50","MW","0","A","Liao, Proey","ONLINE","0","To explore the potential of computer-integrated design software; to develop techniques for critical analysis of architectural precedents; to expand the ability to visualize options; to expand perception; and to learn the basics of computer-integrated design.","","ARCH","20262"
"11250","ARCH-790","ARCH","050","4.0","4.0","Doctoral Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Research leading to the doctorate.  Maximum units which may be applied to the degree to be determined by the School of Architecture.  Graded CR/NC.","","ARCH","20262"
"11258","ARCH-524","ARCH","059","1.0","1.0","Professional Practicum","C","","Y","TBA","TBA","","0","","","OFFICE","0","Comparative studies of professional practice between U.S. firms and firms in other countries. Open to international upper-division undergraduate and graduate architecture students only. Graded CR/NC.","","ARCH","20262"
"11282","ARCH-402A","ARCH","255","6.0","6.0","Architectural Design IV","CL","","Y","14:00","17:50","MTWHF","0","","Yi, Eui-Sung","OFFICE","0","Selected areas of specialization; three projects chosen with advisement from a variety of studio offerings that concentrate on different areas of vital concern.","","ARCH","20262"
"11283","ARCH-705","ARCH","255","6.0","6.0","Advanced Graduate Architecture Design- Topics","CL","","Y","14:00","17:50","MTWHF","0","","Yi, Eui-Sung","OFFICE","0","Advanced topical investigations emphasizing diverse areas of specialization. Projects will be faculty-led research investigations that concentrate on diverse areas of vital concern. Prerequisite: ARCH 605bL or ARCH 702L. Open only to Architecture majors.","","ARCH","20262"
"11988","AHIS-400","LASH","054","2.0","2.0","Undergraduate Apprenticeship","C","","Y","TBA","TBA","","0","","","OFFICE","0","Independent work in art museums, galleries or art history related institutes supervised by on-site professionals and USC faculty. Not available for credit for AHIS majors. CR/NC","","AHIS","20262"
"12041","AHIS-490","LAS","054","1.0","8.0","Directed Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Individual research and readings. Not available for graduate credit.","","AHIS","20262"
"12047","AHIS-495B","LASH","054","2.0","2.0","Undergraduate Honors Thesis","C","","Y","TBA","TBA","","0","","","OFFICE","0","Research and writing of original thesis under guidance of faculty member. Prereq: Consent of instructor.","","AHIS","20262"
"12100","AHIS-590","LASH","054","1.0","12.0","Directed Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Research leading to graduate degree. Maximum units which may be applied to degree determined by department.  Graded CR/NC.","","AHIS","20262"
"12101","AHIS-590","LASH","054","1.0","12.0","Directed Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Research leading to graduate degree. Maximum units which may be applied to degree determined by department.  Graded CR/NC.","","AHIS","20262"
"12180","AHIS-790","LASH","054","1.0","12.0","Research","C","","Y","TBA","TBA","","0","","","OFFICE","0","Research leading to the Doctorate. Maximum units which may be applied to the degree to be determined by the department.","","AHIS","20262"
"12194","AHIS-794Z","LASH","054","0.0","0.0","Doctoral Dissertation","C","","Y","TBA","TBA","","0","","","OFFICE","0","Credit on acceptance of Dissertation. Graded CR/NC.","","AHIS","20262"
"12254","VISS-599","LAS","690","4.0","4.0","Special Topics","C","","Y","10:00","15:30","MTWHF","5","","Schwartz, Vanessa, Ruth","","5","Special Topics in Visual Studies.","LACMA's Renovation and Reinvention","VISS","20262"
"12700","AAN-500","BVC","988","2.0","2.0","Applied Business Analytics and Artificial Intelligence","C","","Y","17:30","19:00","W","0","A","Shebanow, Anna","ONLINE","0","Foundational principles and practical applications of analytics and artificial intelligence (AI) across various business domains with a focus on challenges involved in these techniques.","","AAN","20262"
"12708","AAN-505","BVC","988","2.0","2.0","Statistics for Applied Data Analytics","C","","Y","17:30","19:00","H","0","A","Kluckow, Richard","ONLINE","0","Statistics, probability, probability distributions and other fundamental data analysis concepts and tools. Development of simple models to support subsequent evaluation and data-supported decisions.","","AAN","20262"
"12709","AAN-505","BVC","988","2.0","2.0","Statistics for Applied Data Analytics","C","","Y","17:30","19:00","H","0","A","","ONLINE","0","Statistics, probability, probability distributions and other fundamental data analysis concepts and tools. Development of simple models to support subsequent evaluation and data-supported decisions.","","AAN","20262"
"12716","AAN-510","BVC","981","2.0","2.0","Visualization and Storytelling With Data","C","","Y","17:30","19:00","H","0","A","","ONLINE","0","Tools and techniques to effectively analyze and visualize data and communicate the results. Python libraries, modules, techniques and best practices.","","AAN","20262"
"12724","AAN-515","BVC","981","2.0","2.0","Regression Modeling for Applied Predictive Analytics","C","","Y","17:30","19:00","W","0","A","","ONLINE","0","Linear regression and logistic regression models, coefficient interpretation and performance analysis. Advanced modeling techniques.","","AAN","20262"
"12725","AAN-515","BVC","981","2.0","2.0","Regression Modeling for Applied Predictive Analytics","C","","Y","17:30","19:00","W","0","A","Almahdi, Saud","ONLINE","0","Linear regression and logistic regression models, coefficient interpretation and performance analysis. Advanced modeling techniques.","","AAN","20262"
"12732","AAN-520","BVC","988","2.0","2.0","Applied Data Management and Database Systems","C","","Y","17:30","19:00","W","0","A","Colella, Michael","ONLINE","0","Overview of the data pipeline, data sources, data interchange formats and the organization of data for analytics and modeling, problems, solutions and best practices.","","AAN","20262"
"12740","AAN-525","BVC","988","2.0","2.0","Applied Machine Learning for Business Applications","C","","Y","17:30","19:00","T","0","A","Kuo, Christopher","ONLINE","0","Exploration of machine learning principles and practices using real-world data, models and techniques. Initial data explorations to deployment to maintenance of machine learning systems.","","AAN","20262"
"12748","AAN-530","BVC","981","2.0","2.0","Applied Optimization and Simulation","C","","Y","17:30","19:00","H","0","A","","ONLINE","0","Applied mathematical programming including simulation methods, constrained optimization methods, linear programming, mixed integer programming and statistical and discrete event simulation methods. Case studies.","","AAN","20262"
"12756","AAN-535","BVC","981","2.0","2.0","Analytics Business Strategy and Communication","C","","Y","17:30","19:00","W","0","A","Shen, Joyce","ONLINE","0","Development of astute business acumen and strong communication skills for analytics professionals and leaders in relation to strategy, storytelling, communication and change management.","","AAN","20262"
"12970","QBIO-590","LAS","059","1.0","9.0","Directed Research","C","","Y","TBA","TBA","","0","","Calabrese, Peter, Paul;Rohs, Remo","OFFICE","0","Research leading to a graduate degree. Maximum units which may be applied to the degree to be determined by the department. Graded CR/NC.","","QBIO","20262"
