"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00900","USC-100","RNR","001","1.0","16.0","TEMPORARY ENROLLMENT/FILL COURSE","C","","Y","TBA","TBA","","2","","","ASYNC",NA,"The registration for this course should only be temporary. There is no instruction in this course. (Used for special purposes by Registration.)","","USC","20261"
"00941","RNR-050","RNR","808","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20261"
"00942","RNR-050","RNR","810","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20261"
"00943","RNR-050","RNR","617","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20261"
"00944","RNR-050","RNR","678","0.0","0.0","International Academy Holding Course","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student  population.  Tuition is paid directly to the Academy.","","RNR","20261"
"00945","RNR-051","RNR","199","0.0","0.0","International Academy Holding Course (Part II)","C","","Y","TBA","TBA","","0","","","OFFICE",NA,"Course created per request from the International Academy to create a zero unit, zero charge course for the purpose of enabling services for the student population. This course serves the popuation that has successfully completed RNR-050.  Tuition is paid directly to the Academy.","","RNR","20261"
"01075","TEST-100","RNR","001","4.0","4.0","Test Course","C","","N","","","","0","","","",NA,"Course created for testing purposes which could not be replicated on the test machine.","","TEST","20261"
"02602","LAW-275","LAW","001","4.0","4.0","Equal by Law: The History of Civil Rights Law in the United","C","","N","10:00","11:50","TH","0","","","",NA,"Traces the development of U.S. constitutional and statutory mechanisms designed to fulfill the promise of equality under the law.","","LAW","20261"
"02603","LAW-200","LAW","001","4.0","4.0","Law and Society","CD","","N","12:00","13:20","MW","0","","","",NA,"Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20261"
"02604","LAW-301","LAW","001","4.0","4.0","Voting Rights and the Law","C","","N","16:00","19:20","T","0","","","",NA,"Examines the basic themes surrounding the legal regulation of elections with a focus on voting rights.","","LAW","20261"
"02605","LAW-201","LAW","001","4.0","4.0","Law and Politics","C","","Y","16:00","19:20","T","5","","Tolson, Franita","LAW2",NA,"Examination of the rules and realities of American politics, and the role politics plays in American life and culture.","","LAW","20261"
"02607","LAW-300","LAW","001","4.0","4.0","Concepts in American Law","C","","Y","14:00","15:50","MW","14","","Jimenez, Felipe","THH102",NA,"The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW","20261"
"02612","LAW-222","LAW","001","2.0","2.0","Interdisciplinary Perspectives on the Law","C","","Y","09:00","10:50","M","4","","Wood, Abby","DMC257",NA,"Examines law and the legal system from different disciplinary perspectives. It explores how various disciplines provide different insights to the legal regime.","","LAW","20261"
"02613","LAW-210","LAW","001","4.0","4.0","Fundamentals of the U.S. Legal System","C","","Y","14:00","15:40","TH","18","","Scotten, Donald","LAW3",NA,"Introduces the U.S. legal system and its relationship to basic principles of the rule of law. Examines lawmaking institutions, judicial processes and contemporary legal issues.","","LAW","20261"
"02614","LAW-205","LAW","001","4.0","4.0","Introduction to Criminal Law","C","","Y","12:00","13:50","TH","11","","Campbell, Dave","LAW7",NA,"Provides a comprehensive analysis of the criminal justice system and an overview of the fundamentals of substantive criminal law.","","LAW","20261"
"02615","LAW-306","LAW","001","4.0","4.0","Issues in the Use of AI in Law and Regulation","C","","N","12:00","13:50","MW","0","","","",NA,"Focuses on the role artificial intelligence plays in a variety of aspects of the law through humanities-based approaches like ethics, linguistics, sociological and economics approaches.","","LAW","20261"
"02616","LAW-407","LAW","001","4.0","4.0","Regulatory Law","C","","Y","17:30","19:20","TH","3","","","GFS105",NA,"Introduces legal and social ideas and issues surrounding regulatory law - how and why regulations are developed, along with the accountability and enforcement of regulations.","","LAW","20261"
