"SECTION","COURSE_CODE","SCHOOL","SESSION","MIN_UNITS","MAX_UNITS","COURSE_TITLE","MODE","LINK","PUBLISH","START_TIME","END_TIME","DAYS","TOTAL_ENR","MODALITY","INSTRUCTOR_NAME","ASSIGNED_ROOM","TOTAL_ENR1","COURSE_DESCRIPTION","SECTION_NAME","DEPARTMENT","origin"
"00070","MED-750","MED","001","16.0","16.0","Special Medicine","C","","N","TBA","TBA","","0","","","",NA,"For registration and fee purposes only.","","MED","20263"
"00214","PDF-999","RNR","074","0.0","0.0","Postdoctoral Fellows","C","","Y","TBA","TBA","","0","A","","ONLINE",NA,"Course created for visiting postdoctoral fellows scholars.  The course is created for enrollment purposes, zero units, full time status, scheduled in session 018, and never appears in the student academic records system.","","PDF","20263"
"00354","SPAN-260","LASH","001","4.0","4.0","Advanced Spanish: Arts and Sciences","C","","N","TBA","TBA","","0","","","",NA,"Development of students' oral and writing skills using literary and scientific materials; grammar review. Duplicates credit in the former SPAN 266.","","SPAN","20263"
"00355","SPAN-302","LAS","001","4.0","4.0","Screen Cultures: From Film to the Internet","C","","N","TBA","TBA","","0","","","",NA,"A survey of Spanish and Latin American cinema from the silent film era to the present, acquainting students with various critical and theoretical approaches to cinema studies. Conducted in Spanish.","","SPAN","20263"
"00356","SPAN-464","LASH","001","4.0","4.0","Introduction to Contemporary Spanish Theatre","C","","N","TBA","TBA","","0","","","",NA,"(Madrid Center Only) Historical evolution of the contemporary Spanish theatre; readings of dramatic texts supported by attendance at live stage performances. Recommended preparation: SPAN 304 or SPAN 306 or SPAN 308","","SPAN","20263"
"02603","LAW-200","LAW","001","4.0","4.0","Law and Society","CD","","Y","10:00","11:50","MW","0","","Jimenez, Felipe","SAL101",NA,"Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20263"
"02604","LAW-320","LAW","001","4.0","4.0","Law, Enslavement and Race","C","","N","12:00","13:20","MW","0","","","",NA,"Studies how law, politics and culture interacted to shape the institution of enslavement and the development of modern conceptions of race.","","LAW","20263"
"02605","LAW-320","LAW","001","0.0","0.0","Law, Enslavement and Race","D","","N","10:00","10:50","F","0","","","",NA,"Studies how law, politics and culture interacted to shape the institution of enslavement and the development of modern conceptions of race.","","LAW","20263"
"02606","LAW-200","LAW","001","0.0","0.0","Law and Society","D","","N","12:00","12:50","W","0","","","",NA,"Sources and structure of law; history of Bill of Rights emphasizing effect on criminal justice system; limits of law in solving problems in American society.","","LAW","20263"
"02607","LAW-300","LAW","001","4.0","4.0","Concepts in American Law","C","","Y","14:00","15:50","MW","0","","Haddad, Mark","THH208",NA,"The main concepts and topics in American law, in the historical, economic and cultural contexts in which they have developed.","","LAW","20263"
